商品名,JAN,Type,希望小売価格,UMAP1,UMAP2,Z_甘味,Z_渋味,Z_酸味,Z_ボディ
ベイラ　ティント,4935919360210,Red,1900.0,9.698383,5.168716,0.1674715085957118,0.875,0.14230769230769233,0.543553820829589
ベイラ　ブランコ,4935919360258,White,1900.0,4.616427,4.090385,0.05506498523689947,0.1893939393939394,0.4829562594268477,0.15961492690108384
アルトス　ダ　ベイラ　ブランコ,4935919360289,White,1500.0,6.1218367,3.2174869,0.09469080272634454,0.0909090909090909,0.4773001508295627,0.1328117624607618
パッソ　デイ　カプリオーリ　トスカーナ　ロッソ,4935919940337,Red,1800.0,10.92112,5.373233,0.073718921603797,0.5871212121212122,0.0903846153846154,0.4124190574425728
チェラズオーロ　ダブルッツォ　スペリオーレ,4935919940399,Rose,2000.0,3.6343782,4.016296,0.06842076216231133,0.28787878787878785,0.6025263951734541,0.1936976856290879
コルテーゼ　アルト　モンフェッラート　グラッフィティ,4935919940412,White,1600.0,4.7293634,3.6550915,0.09837467921300257,0.08333333333333333,0.42032428355957774,0.12720494414896907
カーザ　バリコーニ　サンジョヴェーゼ,4935919940610,Red,1300.0,7.6796618,3.8220446,0.1287701095504843,0.5606060606060606,0.25799396681749626,0.3661799805790869
ファンティーニ　チェラズオーロ　ダブルッツオ,4935919940658,Rose,1900.0,6.7992325,3.1192617,0.13292309390435716,0.1856060606060606,0.3633861236802413,0.2135368264945492
フェフェ　コンテ　トロザン　ブラン,4935919961547,White,1300.0,5.1097527,3.5190375,0.06519219625265597,0.1818181818181818,0.7555429864253395,0.14000573225600305
フェフェ　ヴァン　ド　フランス　ルージュ,4935919961554,Red,1250.0,8.055718,5.60827,0.0677308976517012,0.4507575757575757,0.20192307692307696,0.27504097566147095
シャトー　レ　ヴァレー　ルージュ,4935919961592,Red,1900.0,8.32558,5.90829,0.07511244791522945,0.6363636363636364,0.17884615384615385,0.4225930687576597
ヴュー　シャトー　ルネサンス,4935919962865,Red,2000.0,9.406897,5.72685,0.08202489031154281,0.8446969696969696,0.13076923076923078,0.4519522486147357
キシナウル　ヴェキ　スプマン　ブリュット,4935919980012,Spa,1800.0,6.403505,4.716705,0.2446397527525594,0.056818181818181816,0.5355203619909502,0.14724852297190646
キシナウル　ヴェキ　スプマン　デミセック,4935919980029,Spa,1800.0,7.1755185,4.294577,0.8339082204255084,0.1856060606060606,0.5108220211161388,0.38691638434938647
ソーヴィニヨン　ブラン,4935919980043,White,1400.0,5.1349664,4.757515,0.11080603769419686,0.04545454545454545,0.4730769230769232,0.10129738213960235
リースリング　デ　ライン,4935919980050,White,1400.0,5.035945,5.2148485,0.11771848009051021,0.07196969696969696,0.6058823529411765,0.08397408505333183
シャルドネ,4935919980067,White,1400.0,6.4687448,3.2599666,0.08500510499737851,0.178030303030303,0.37944947209653096,0.18531824753254816
カベルネ　ソーヴィニヨン,4935919980098,Red,1400.0,7.4151683,3.1517348,0.09306272248130468,0.7878787878787878,0.2813725490196079,0.3573515712059605
インディヴィド　メルロ　カベルネ　ソーヴィニヨン,4935919980135,Red,1800.0,9.621579,5.5325894,0.08385992990976572,0.6249999999999999,0.2576923076923077,0.38405121834071776
テンプラニーリョ　ドラゴン　ビノ　デ　ラ　ティエラ,8410396780219,Red,1400.0,8.430492,4.8206,0.06588206076326608,0.5378787878787878,0.15769230769230771,0.3640735094172959
blendF,blendF,Rose,,7.857709,5.6819158,0.12165070780098787,0.31439393939393934,0.35180995475113125,0.2521767521586033
